Tanggal,Harga
2021-11-26,30580.0
2021-11-27,31340.0
2021-11-28,30690.0
2021-11-29,32560.0
2021-11-30,34350.0
2021-12-01,36410.0
2021-12-02,37350.0
2021-12-03,38790.0
2021-12-04,39750.0
2021-12-05,41540.0
2021-12-06,49420.0
2021-12-07,53850.0
2021-12-08,54470.0
2021-12-09,58750.0
2021-12-10,59440.0
2021-12-11,62480.0
2021-12-12,66450.0
2021-12-13,69710.0
2021-12-14,71780.0
2021-12-15,74150.0
2021-12-16,74550.0
2021-12-17,75500.0
2021-12-18,76540.0
2021-12-19,78450.0
2021-12-20,77590.0
2021-12-21,81430.0
2021-12-22,81120.0
2021-12-23,84170.0
2021-12-24,88560.0
2021-12-25,87780.0
2021-12-26,90170.0
2021-12-27,92050.0
2021-12-28,94520.0
2021-12-29,95420.0
2021-12-30,96880.0
2021-12-31,91950.0
2022-01-01,91430.0
2022-01-02,93530.0
2022-01-03,86060.0
2022-01-04,88960.0
2022-01-05,87970.0
2022-01-06,83590.0
2022-01-07,80480.0
2022-01-08,77700.0
2022-01-09,73870.0
2022-01-10,66350.0
2022-01-11,64330.0
2022-01-12,59820.0
2022-01-13,56420.0
2022-01-14,53930.0
2022-01-15,53040.0
2022-01-16,52340.0
2022-01-17,51620.0
2022-01-18,52620.0
2022-01-19,51350.0
2022-01-20,49860.0
2022-01-21,48070.0
2022-01-22,48220.0
2022-01-23,48250.0
2022-01-24,43720.0
2022-01-25,42200.0
2022-01-26,40540.0
2022-01-27,40020.0
2022-01-28,38540.0
2022-01-29,38360.0
2022-01-30,38260.0
2022-01-31,36560.0
2022-02-01,36100.0
2022-02-02,35970.0
2022-02-03,34520.0
2022-02-04,34950.0
2022-02-05,35140.0
2022-02-06,35390.0
2022-02-07,37370.0
2022-02-08,39960.0
2022-02-09,39900.0
2022-02-10,39780.0
2022-02-11,39850.0
2022-02-12,39960.0
2022-02-13,40400.0
2022-02-14,41650.0
2022-02-15,41310.0
2022-02-16,41520.0
2022-02-17,41500.0
2022-02-18,42410.0
2022-02-19,42370.0
2022-02-20,42130.0
2022-02-21,44410.0
2022-02-22,44830.0
2022-02-23,45620.0
2022-02-24,46980.0
2022-02-25,49030.0
2022-02-26,49960.0
2022-02-27,50230.0
2022-02-28,50750.0
2022-03-01,52340.0
2022-03-02,55380.0
2022-03-03,56410.0
2022-03-04,58330.0
2022-03-05,59040.0
2022-03-06,60700.0
2022-03-07,62250.0
2022-03-08,64340.0
2022-03-09,64940.0
2022-03-10,65090.0
2022-03-11,66790.0
2022-03-12,68140.0
2022-03-13,65790.0
2022-03-14,65150.0
2022-03-15,65150.0
2022-03-16,64740.0
2022-03-17,61920.0
2022-03-18,61050.0
2022-03-19,61150.0
2022-03-20,61660.0
2022-03-21,58490.0
2022-03-22,56380.0
2022-03-23,55070.0
2022-03-24,55390.0
2022-03-25,55080.0
2022-03-26,54570.0
2022-03-27,54730.0
2022-03-28,52240.0
2022-03-29,53150.0
2022-03-30,52830.0
2022-03-31,53570.0
2022-04-01,55210.0
2022-04-02,54640.0
2022-04-03,54430.0
2022-04-04,54490.0
2022-04-05,55560.0
2022-04-06,55240.0
2022-04-07,53970.0
2022-04-08,51110.0
2022-04-09,50650.0
2022-04-10,50920.0
2022-04-11,46480.0
2022-04-12,44160.0
2022-04-13,43300.0
2022-04-14,41150.0
2022-04-15,39520.0
2022-04-16,38980.0
2022-04-17,38570.0
2022-04-18,37480.0
2022-04-19,37130.0
2022-04-20,36910.0
2022-04-21,36820.0
2022-04-22,34710.0
2022-04-23,34700.0
2022-04-24,35200.0
2022-04-25,37300.0
2022-04-26,38220.0
2022-04-27,39230.0
2022-04-28,39220.0
2022-04-29,41580.0
2022-04-30,44440.0
2022-05-01,45120.0
2022-05-02,47190.0
2022-05-03,47210.0
2022-05-04,46750.0
2022-05-05,46550.0
2022-05-06,46320.0
2022-05-07,45290.0
2022-05-08,43890.0
2022-05-09,41000.0
2022-05-10,40330.0
2022-05-11,40050.0
2022-05-12,39380.0
2022-05-13,38420.0
2022-05-14,38040.0
2022-05-15,38350.0
2022-05-16,37710.0
2022-05-17,40850.0
2022-05-18,41580.0
2022-05-19,43650.0
2022-05-20,44180.0
2022-05-21,45170.0
2022-05-22,46380.0
2022-05-23,47650.0
2022-05-24,48960.0
2022-05-25,51400.0
2022-05-26,51760.0
2022-05-27,51610.0
2022-05-28,54320.0
2022-05-29,54410.0
2022-05-30,57550.0
2022-05-31,58940.0
2022-06-01,61690.0
2022-06-02,63150.0
2022-06-03,65690.0
2022-06-04,68630.0
2022-06-05,72290.0
2022-06-06,75020.0
2022-06-07,80690.0
2022-06-08,85420.0
2022-06-09,86250.0
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,
2022-07-06,
2022-07-07,
2022-07-08,
2022-07-09,
2022-07-10,
2022-07-11,
2022-07-12,
2022-07-13,
2022-07-14,92550.0
2022-07-15,97990.0
2022-07-16,94850.0
2022-07-17,93790.0
2022-07-18,86390.0
2022-07-19,86730.0
2022-07-20,84830.0
2022-07-21,81100.0
2022-07-22,78220.0
2022-07-23,74610.0
2022-07-24,75220.0
2022-07-25,74650.0
2022-07-26,72440.0
2022-07-27,72060.0
2022-07-28,71860.0
2022-07-29,71000.0
2022-07-30,69240.0
2022-07-31,70490.0
2022-08-01,70200.0
2022-08-02,68190.0
2022-08-03,69010.0
2022-08-04,67960.0
2022-08-05,66070.0
2022-08-06,68100.0
2022-08-07,67030.0
2022-08-08,65840.0
2022-08-09,65650.0
2022-08-10,63540.0
2022-08-11,63180.0
2022-08-12,61210.0
2022-08-13,60740.0
2022-08-14,60710.0
2022-08-15,55380.0
2022-08-16,55870.0
2022-08-17,57530.0
2022-08-18,54920.0
2022-08-19,54160.0
2022-08-20,55510.0
2022-08-21,54340.0
2022-08-22,52290.0
2022-08-23,51040.0
2022-08-24,50920.0
2022-08-25,48470.0
2022-08-26,48050.0
2022-08-27,47920.0
2022-08-28,49490.0
2022-08-29,48090.0
2022-08-30,46070.0
2022-08-31,49700.0
2022-09-01,50650.0
2022-09-02,51190.0
2022-09-03,52000.0
2022-09-04,52100.0
2022-09-05,54940.0
2022-09-06,57130.0
2022-09-07,57920.0
2022-09-08,58540.0
2022-09-09,58090.0
2022-09-10,59100.0
2022-09-11,59290.0
2022-09-12,59150.0
2022-09-13,58470.0
2022-09-14,58360.0
2022-09-15,58910.0
2022-09-16,60300.0
2022-09-17,62140.0
2022-09-18,62870.0
2022-09-19,64590.0
2022-09-20,66560.0
2022-09-21,66620.0
2022-09-22,65660.0
2022-09-23,64350.0
2022-09-24,62510.0
2022-09-25,63020.0
2022-09-26,62700.0
2022-09-27,61950.0
2022-09-28,61430.0
2022-09-29,60520.0
2022-09-30,60600.0
2022-10-01,60010.0
2022-10-02,59920.0
2022-10-03,60120.0
2022-10-04,59470.0
2022-10-05,59110.0
2022-10-06,59160.0
2022-10-07,58540.0
2022-10-08,58380.0
2022-10-09,57720.0
2022-10-10,58440.0
2022-10-11,58500.0
2022-10-12,56760.0
2022-10-13,57140.0
2022-10-14,56320.0
2022-10-15,57110.0
2022-10-16,57420.0
2022-10-17,53050.0
2022-10-18,52420.0
2022-10-19,51860.0
2022-10-20,50870.0
2022-10-21,49470.0
2022-10-22,48330.0
2022-10-23,47950.0
2022-10-24,48170.0
2022-10-25,47400.0
2022-10-26,44500.0
2022-10-27,44150.0
2022-10-28,45420.0
2022-10-29,44590.0
2022-10-30,45650.0
2022-10-31,43130.0
2022-11-01,42580.0
2022-11-02,42160.0
2022-11-03,41650.0
2022-11-04,41330.0
2022-11-05,43040.0
2022-11-06,41790.0
2022-11-07,41190.0
2022-11-08,41220.0
2022-11-09,39440.0
2022-11-10,39730.0
2022-11-11,40000.0
2022-11-12,38880.0
2022-11-13,40500.0
2022-11-14,38820.0
2022-11-15,38340.0
2022-11-16,38300.0
2022-11-17,39240.0
2022-11-18,39730.0
2022-11-19,40460.0
2022-11-20,40220.0
2022-11-21,41950.0
2022-11-22,41360.0
2022-11-23,41810.0
2022-11-24,42110.0
2022-11-25,42200.0
2022-11-26,41710.0
2022-11-27,40990.0
2022-11-28,40670.0
2022-11-29,40910.0
2022-11-30,41220.0
2022-12-01,40920.0
2022-12-02,41010.0
2022-12-03,40860.0
2022-12-04,42190.0
2022-12-05,44920.0
2022-12-06,46710.0
2022-12-07,48510.0
2022-12-08,48580.0
2022-12-09,51240.0
2022-12-10,51500.0
2022-12-11,51530.0
2022-12-12,51500.0
2022-12-13,51540.0
2022-12-14,51550.0
2022-12-15,51230.0
2022-12-16,50950.0
2022-12-17,50820.0
2022-12-18,49390.0
2022-12-19,48990.0
2022-12-20,49320.0
2022-12-21,46870.0
2022-12-22,46850.0
2022-12-23,46840.0
2022-12-24,47660.0
2022-12-25,47480.0
2022-12-26,49410.0
2022-12-27,50770.0
2022-12-28,52260.0
2022-12-29,50450.0
2022-12-30,51310.0
2022-12-31,56680.0
2023-01-01,91430.0
2023-01-02,93530.0
2023-01-03,86060.0
2023-01-04,88960.0
2023-01-05,87970.0
2023-01-06,83590.0
2023-01-07,80480.0
2023-01-08,77700.0
2023-01-09,73870.0
2023-01-10,66350.0
2023-01-11,64330.0
2023-01-12,59820.0
2023-01-13,56420.0
2023-01-14,53930.0
2023-01-15,53040.0
2023-01-16,52340.0
2023-01-17,51620.0
2023-01-18,52620.0
2023-01-19,51350.0
2023-01-20,49860.0
2023-01-21,48070.0
2023-01-22,48220.0
2023-01-23,48250.0
2023-01-24,43720.0
2023-01-25,42200.0
2023-01-26,40540.0
2023-01-27,40020.0
2023-01-28,38540.0
2023-01-29,38360.0
2023-01-30,38260.0
2023-01-31,36560.0
2023-02-01,56860.0
2023-02-02,57740.0
2023-02-03,56960.0
2023-02-04,55270.0
2023-02-05,58090.0
2023-02-06,59320.0
2023-02-07,58840.0
2023-02-08,58910.0
2023-02-09,59120.0
2023-02-10,58950.0
2023-02-11,58790.0
2023-02-12,59840.0
2023-02-13,60800.0
2023-02-14,60040.0
2023-02-15,63110.0
2023-02-16,63290.0
2023-02-17,63830.0
2023-02-18,63870.0
2023-02-19,62940.0
2023-02-20,67780.0
2023-02-21,69300.0
2023-02-22,68360.0
